,ABC News,CBS News,NBC News,NPR,Rush Limbaugh Show (radio),Sean Hannity Show (radio),Washington Post,The New York Times,HuffPost,Breitbart,BBC,Time,Univision,Vice,Daily Caller,Fox News,MSNBC,CNN,PBS,The Wall Street Journal,USA Today,Politico,BuzzFeed,Newsweek,Business Insider,Vox,The Hill,Washington Examiner,New York Post,The Guardian,Opinion of Trump,Party,Social Media Usage,Weights,Age/Sex Category
0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,-0.8,Democrat,Hardly Ever,68.0,8.0
1,2,2,2,2,1,1,2,2,2,2,2,2,2,0,0,1,2,2,2,2,2,2,2,2,0,0,2,2,2,0,1.0,Republican,Never,106.0,7.0
2,1,1,1,0,2,0,0,2,0,0,2,2,0,0,0,2,2,2,2,2,2,0,0,2,0,0,0,0,2,0,1.0,Republican,Never,102.0,7.0
3,2,2,1,2,2,0,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,0,2,2,0,0,0,0,2,0,0.1,Democrat,Hardly Ever,106.0,4.0
4,2,2,1,2,0,2,1,1,2,2,2,1,0,0,0,2,2,1,2,1,2,2,2,2,2,0,2,2,2,2,-1.0,Democrat,Never,74.0,6.0
5,2,2,1,2,0,0,2,2,2,2,2,2,2,0,0,2,2,1,0,2,2,2,1,2,2,0,0,0,2,2,-1.0,Democrat,Sometimes,179.0,4.0
6,2,2,2,0,2,2,2,2,0,0,2,2,2,0,0,2,2,1,2,2,2,0,2,2,2,0,0,2,2,0,-0.4,Republican,Never,124.0,6.0
7,2,0,2,0,2,2,2,2,0,2,0,2,0,0,0,1,2,2,2,2,2,0,2,2,0,0,0,2,2,2,0.86,Independent,Hardly Ever,253.0,6.0
8,2,2,2,0,2,0,2,2,0,0,0,2,0,0,0,2,2,2,2,2,2,0,2,2,0,0,0,2,2,0,-0.8,Republican,Never,80.0,6.0
9,2,2,2,0,0,0,2,2,0,0,2,2,0,0,0,1,2,2,2,2,2,0,0,2,0,0,0,0,2,0,1.0,Republican,Never,285.0,7.0
10,2,2,2,2,2,1,2,2,2,1,2,2,0,0,2,1,2,2,2,2,2,2,2,2,0,0,2,0,2,2,0.8,Republican,Sometimes,188.0,6.0
11,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1,-0.34,Independent,Often,733.0,3.0
12,1,1,1,1,2,2,1,1,2,0,2,2,2,0,0,1,1,1,2,2,2,2,2,2,2,0,2,2,1,0,0.6,Republican,Sometimes,137.0,6.0
13,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,0,2,0,0,2,2,1.0,Republican,Sometimes,199.0,5.0
14,1,1,1,1,2,0,1,1,1,2,1,2,2,2,0,2,1,1,1,2,2,2,2,2,2,2,2,0,2,2,-1.0,Democrat,99,75.0,7.0
15,2,2,2,2,0,0,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,0,2,2,0,0,0,2,2,0,-0.6,Republican,Hardly Ever,177.0,2.0
