,1,2,3,4,5,6,7,8
ABC News,0.1739968261286983,0.19425117114784304,0.2627320670942016,0.3160704759684374,0.3829315541460497,0.43333948575344444,0.4257355743682826,0.46309888101906876
CBS News,0.15880528841404415,0.16254523900913165,0.22481847044210812,0.23816081971236328,0.369518566837658,0.3927202626488482,0.4065881340713896,0.4253373150044982
NBC News,0.23275483122316892,0.20188511413574278,0.29815241319427466,0.29123142971209276,0.3829679763935845,0.39372111920012487,0.4342473016431861,0.4681568831456048
NPR,0.1881314237187947,0.16351844141591665,0.29629220307557,0.16234753799389975,0.21084051477641236,0.16154685105486666,0.24351126339098794,0.19587147825531168
Rush Limbaugh Show (radio),0.006839567322198747,0.009188580573180338,0.06467373189927435,0.018664636848879517,0.1325804209648654,0.06215683792951451,0.21165258785297544,0.13655645104485672
Sean Hannity Show (radio),0.012166395854048585,0.01044676265450556,0.07346757890724313,0.022425435797753607,0.18425660502747285,0.06996462749584705,0.22345517320956645,0.15171732933138818
Washington Post,0.19300978989747267,0.17399560953381027,0.2343970921645499,0.12150950419688283,0.17132192291706236,0.12974053587481776,0.18728494372853197,0.15568053600619064
The New York Times,0.27296556333324196,0.21356406865110875,0.25449212425194556,0.15660706906033559,0.1849146821270933,0.14753673503539874,0.21902321115810958,0.18982647746329953
HuffPost,0.0732611315241292,0.06318799828989054,0.08866758967172468,0.07191230649051311,0.08617037444342222,0.0723716634278021,0.08538571045390321,0.06763649456466798
Breitbart,0.02365639993313825,0.00414702900560174,0.0441993353009401,0.017612158017303037,0.07137507804916796,0.03080641410414297,0.07396367060101297,0.047472806295830804
BBC,0.2107135072105957,0.11118874348027269,0.24041582269877096,0.10512843535465005,0.18152933689237508,0.11110482620329319,0.19730885326045997,0.1463544562894376
Time,0.07283876532652012,0.0809346619638524,0.07204461271835365,0.05268818689993198,0.06936896672559825,0.0603913927486542,0.0765624342609582,0.05614866976519144
Univision,0.06968491370172736,0.08765479689665016,0.07117391555849718,0.06811824541734356,0.02946776286902684,0.0472507654719822,0.02977934955542388,0.01621495292763625
Vice,0.0984587705982439,0.061424177398598,0.07495415403843936,0.02913277218870242,0.03026092200475056,0.013529051094361467,0.01832541900815811,0.010784144200010207
Daily Caller,0.012103711008248868,0.005439119943147908,0.033638218069412425,0.0054771436114476975,0.025124268808471035,0.015017012996263004,0.026496442641328312,0.013042892876166404
Fox News,0.2369539513110617,0.2625543657949571,0.36655602288853584,0.31391643064682706,0.5147789364691284,0.4463945873010402,0.569173458799019,0.4595313492530321
MSNBC,0.15862849683912628,0.10741658579009657,0.24349034603372885,0.2110369595312242,0.286160216815657,0.24080840186662872,0.30274892015377536,0.3097715876842823
CNN,0.3921373367835491,0.36308671180593155,0.44411310021491684,0.3401252575256296,0.41109941744709205,0.36856871378076417,0.3956720141918903,0.364678825629535
PBS,0.09947986214483885,0.07225604976379602,0.17906148809992542,0.09094839138352878,0.1895093398560965,0.16200885364825363,0.28932168837058986,0.23110606949633863
The Wall Street Journal,0.14560824463344701,0.09222448370903204,0.17269115081127656,0.0749559658711232,0.15634629588211307,0.07885686653248197,0.19933269609549017,0.11899147787881617
USA Today,0.10195661821659367,0.11191415127378788,0.10914113405544529,0.09935098232795127,0.14857565468602216,0.11340703671480053,0.124147598706692,0.09305855643961987
Politico,0.08993351461806415,0.04192502371202336,0.15775738832639596,0.0491199085515928,0.1212278584859909,0.07897956864392293,0.12506848674671614,0.08398126529256925
BuzzFeed,0.06086994862708992,0.17692881029125154,0.08372775848484165,0.07606691678845101,0.04838650469911452,0.041640075108726825,0.03841852910837634,0.0411686466418398
Newsweek,0.012168604215540875,0.03436785694060818,0.07687061013414064,0.034264124800225886,0.08240561316262764,0.05380712349061472,0.08002614236136898,0.040560938750410884
Business Insider,0.0683874337138052,0.04096913719429927,0.08414933760905449,0.023373878040599913,0.037557217037831506,0.021591127466593484,0.03889884094999832,0.019128290392732564
Vox,0.0858770415297798,0.04262099614864454,0.09170755447109466,0.02578893249055544,0.03626346836205947,0.025526083169693802,0.021374970601958143,0.015396940837149804
The Hill,0.06287887775384816,0.020591058710434724,0.10280877605464767,0.03453308176532742,0.07148337500702545,0.03748941090115809,0.0783799940357808,0.0541033918972297
Washington Examiner,0.015564672418491127,0.009721830602485477,0.030168575499524782,0.011893892787695483,0.04203480366601155,0.016513683329543245,0.040638794893216965,0.023020230837558695
New York Post,0.04018256316816112,0.03043649117017346,0.07065412298324601,0.038188172676171826,0.06950814156931091,0.03169775989424319,0.07419960865715136,0.0413333022755494
The Guardian,0.07125588809228116,0.045421238821441584,0.10196287791369453,0.037533378582174655,0.05924021655057283,0.038302094663329914,0.05150536111416999,0.031247282689677417
